ⲟ,"great"
ⲥⲁⲣⲕⲓⲕⲟⲛ,"flesh, body (substantive)"
ⲇⲓⲁⲧⲁⲝⲓⲥ,"constitution, imperial law"
ⲕⲟⲓⲛⲱⲛⲓⲁ,"fellowship, community (the feeling of belonging)"
ⲥⲩⲛⲍⲩⲅⲟⲥ,"consort, companion, (sexual) partner (substantive)"
ⲡⲗⲏⲣⲱⲥⲓⲥ,"fulfillment (of prophecy)"
ⲁⲥⲫⲁⲗⲧⲟⲥ,"asphalt, bitumen (general or specific sence unclear)"
ϩⲩⲡⲟⲙⲟⲛⲏ,"patience, endurance, constancy"
ⲁⲛⲁⲧⲣⲉⲡⲉ,"to upset s.o."
ⲡⲁⲣⲑⲉⲛⲟⲥ,"virgin (specific sense unclear)"
ⲕⲁⲧⲁⲃⲟⲗⲏ,"foundation, creation (of the world)"
ⲁⲛⲁⲃⲁⲥⲓⲥ,"rising, inundation (of the river Nile)"
ⲁⲙⲫⲓⲃⲁⲗⲉ,"to argue dissent (object: none)"
ⲁⲣⲕⲉⲩⲑⲟⲥ,"juniper tree"
ⲙⲁⲥⲧⲓⲅⲟⲩ,"to flog, punish (object: unclear)"
ⲁⲥⲫⲁⲗⲓⲍⲉ,"to guard, protect s.th."
ⲥⲕⲗ̣ⲏⲣⲓⲁ,"hardness"
ⲡⲟⲧⲁⲕⲓⲟⲛ,"something that is written"
ⲗⲩⲭⲛⲓⲕⲟⲛ,"lamp-lighting service (introductory part of vespers)"
ⲧⲁⲣⲓⲭⲓⲟⲛ,"salted/dried/pickled fish (sometimes meat), fish sauce"
ⲕⲟⲗⲏⲣⲓⲟⲛ,"collyrium, eye-salve"
ⲁⲛⲁⲭⲱⲣⲓⲛ,"to withdraw, take refuge (object: none)"
ⲭⲟⲛⲉⲩⲧⲟⲛ,"molten image"
ⲅⲉⲑⲑⲁⲓⲟⲥ,"Gittite (inhabitant of Gath)"
ⲡⲟⲧⲏⲣⲓⲟⲛ,"cup, chalice"
ⲁⲑⲁⲛⲁⲥⲓⲁ,"immortality"
ⲧⲉⲧⲁⲣⲧⲏⲥ,"fourth (attributive)"
ⲙⲁⲣⲧⲩⲣⲟⲥ,"witness"
ϩⲟⲙⲟⲛⲟⲓⲁ,"harmony"
ⲁⲅⲁⲗⲗⲓⲱⲛ,"rejoicing (attributive)"
ⲥⲩⲙⲃⲟⲗⲟⲥ,"adviser, counsellor (substantive)"
ⲃⲁⲥⲕⲁⲛⲟⲥ,"slanderer"
ⲉⲡⲓⲥⲧⲏⲙⲏ,"knowledge (specific sense unclear)"
ⲕⲉⲣⲁⲙⲉⲩⲥ,"potter (substantive)"
ⲛⲟⲧⲁⲣⲓⲟⲥ,"notary"
ⲕⲟⲥⲙⲓⲕⲟⲛ,"of the world or the universe, secular (substantive)"
ⲅⲩⲙⲛⲁⲥⲓⲁ,"exercise, training"
ⲁⲡⲟⲇⲏⲙⲉⲓ,"to go on a journey, depart (object: none)"
ⲫⲉⲛⲉⲥⲑⲁⲓ,"it is clear, it is obvious that s.th. (object: dependent statement)"
ⲁⲡⲟⲫⲁⲥⲓⲥ,"decision"
ⲡⲣⲟⲧⲣⲟⲡⲏ,"exhortation"
ⲃⲟⲣⲃⲟⲣⲟⲥ,"mire, filth (hellish)"
ⲉⲡⲓⲕⲁⲗⲉⲓ,"to invoke, call upon (object unclear)"
ϩⲣⲱⲙⲁⲓⲟⲥ,"Roman"
ⲙⲟⲛⲁⲣⲭⲏⲥ,"sovereign, monarch"
ⲇⲓⲁⲕⲣⲓⲛⲉ,"to differentiate, separate s.o."
ⲥⲉⲛⲁⲗⲁⲥⲉ,"to change (object: none)"
ⲡⲉⲣⲓⲕⲟⲡⲏ,"pericope"
ⲫⲱⲥⲫⲟⲣⲟⲥ,"light-giving (as adjective), morning star (as substantive) (specific sense
ⲁⲑⲏⲛⲁⲓⲟⲥ,"Athenian (attributive)"
ⲗⲁⲙⲡⲏⲇⲱⲛ,"lustre, brilliance"
ⲉⲕⲡⲗⲏⲝⲓⲥ,"terror, panic, madness"
ⲡⲉⲣⲓⲅⲣⲁⲫⲏ,"post-facto writing, falsification"
ⲭⲁⲛⲁⲛⲁⲓⲟⲥ,"Canaanite (substantive)"
ϩⲓⲙⲁⲣⲙⲉⲛⲏ,"fate, chain of events"
ⲃⲁⲥⲓⲗⲓⲕⲟⲥ,"royal official (substantive)"
ϯⲁⲗⲏⲅⲓⲑⲁⲓ,"to hold forth, declaim, preach"
ⲡⲣⲟⲭⲉⲓⲣⲟⲛ,"easy, light (of sounds, voices)"
ⲥⲧⲣⲁⲧⲉⲩⲙⲁ,"army"
ⲑⲉⲟⲥⲥⲉⲃⲏⲥ,"fearing God, religious (attributive)"
ⲕⲉⲕⲗⲉⲩⲧⲏⲥ,"tender of waterwheel"
ⲕⲣⲓⲧⲏⲣⲓⲟⲛ,"judgment-seat"
ⲭⲁⲗⲕⲓⲧⲉⲱⲥ,"chalcites, rock-alum; containing copper, white vitriol"
ⲁⲛⲁⲡⲗⲁⲥⲥⲉ,"form anew, remodel, restore s.o."
ⲉⲅⲕⲣⲁⲧⲉⲩⲉ,"to control oneself, to be self-controlled (specific sense unclear)"
ⲉⲥⲑⲁⲛⲉⲥⲑⲉ,"to perceive (specific sense unclear)"
ⲕⲉⲛⲧⲉⲣⲓⲟⲛ,"centurion"
ⲉⲩⲥⲧⲁⲑⲓⲟⲥ,"accurately measured"
ⲥⲩⲛⲇⲟⲛⲓⲟⲛ,"burial-shroud"
ⲁⲗⲗⲟⲫⲩⲗⲟⲥ,"foreigner, gentile, heathen (substantive)"
ⲁⲥⲩⲥⲧⲁⲧⲟⲥ,"not solidified, incapable (of proof)"
ⲁⲣⲧⲏⲙⲉⲥⲓⲁ,"wormwood"
ⲙⲁⲅⲇⲁⲗⲏⲛⲏ,"Magdalene (the woman from Magdala)"
ⲡⲣⲟⲥⲫⲉⲣⲉⲓ,"to make an offering, to sacrifice (object: none)"
ⲫⲁⲕⲓⲁⲣⲓⲟⲛ,"face cloth, towel, turban"
ϩⲩⲡⲏⲣⲉⲧⲉⲓ,"to serve (object: none)"
ⲥⲩⲛⲧⲓⲙⲁⲍⲉ,"to value, estimate (the value of) s.th."
ⲡⲣⲟⲫⲏⲧⲉⲩⲉ,"to prophesy (object unclear)"
ⲕⲁⲧⲏⲅⲟⲣⲟⲥ,"accuser, prosecutor, opponent (specific sense unclear)"
ⲡⲁⲣⲁⲛⲟⲙⲟⲛ,"contrary to, transgressing the law"
ⲡⲁⲛϩⲟⲡⲗⲓⲁ,"suit of armour, full armour"
ⲡⲣⲟⲑⲉⲥⲙⲓⲁ,"appointed time (specific sense unclear)"
ⲥⲡⲗⲁⲅⲭⲛⲟⲛ,"entrails"
ⲡⲣⲟⲅⲛⲱⲥⲓⲥ,"(human) foreknowledge"
ⲃⲣⲁⲭⲙⲁⲛⲏⲥ,"Brahmin (member of the caste of Brahmins)"
ⲇⲓⲁϩⲣⲟϯⲟⲛ,"diarrodon; a remedy made of roses"
ⲉⲩⲉⲣⲅⲉⲧⲏⲥ,"doer of good, benefactor"
ⲧⲣⲓⲥϩⲁⲅⲓⲉ,"thrice-holy" (a part of the liturgy) (substantive)"
ⲁⲡⲟⲕⲣⲩⲫⲟⲛ,"apocryphon (genre of esoteric book) (substantive)"
ⲁⲛⲧⲓⲅⲣⲁⲫⲉ,"to write back, respond to s.o. (object2: direct statement)"
ⲡⲁⲣⲁⲙⲉⲓⲛⲉ,"to stay, to wait"
ⲕⲓⲑⲁⲣⲱⲧⲟⲥ,"lyre-player, guitarist"
ⲛⲟⲙⲟⲑⲩⲥⲓⲁ,"code of laws"
ⲁⲩⲧⲟⲧⲉⲗⲏⲥ,"self-complete (substantive)"
ⲥⲩⲙⲡⲟⲥⲓⲟⲛ,"(drinking)-party"
ⲧⲣⲩⲫⲩⲣⲓⲟⲛ,"soft, delicate (attributive)"
ⲁⲛⲁⲥⲧⲣⲟⲫⲏ,"way of life"
ⲉⲛⲧⲓⲛⲁⲥⲥⲉ,"to crash, collide"
ⲫⲁⲛⲉⲣⲱⲥⲓⲥ,"proclomation, announcement"
ⲥⲩⲛⲧⲉⲗⲉⲓⲁ,"end, completion (of the world) (cosmic eschatology)"
ⲕⲟⲩⲣⲕⲟⲃⲓⲛ,"gourd, cucurbit (TBD)"
ⲉⲩⲫⲣⲟⲥⲩⲛⲏ,"joy, gladness"
ⲗⲁⲙⲡⲣⲟⲧⲏⲥ,"brilliancy, serenity, eminence (honorific appellation used of civil magistrates)"
ⲇⲉⲥⲡⲟⲧⲉⲓⲁ,"rule over/ownership of s.th./s.o."
ⲡⲣⲟⲛⲟⲏⲧⲟⲥ,"administrator"
ϩⲣⲱⲙⲁⲓⲕⲟⲛ,"Roman thing, character, custom (substantive)"
ⲃⲁⲥⲁⲛⲓⲍⲓⲛ,"to torture, torment s.o."
ⲕⲁⲧⲁⲕⲣⲓⲙⲁ,"condemnation"
ⲁⲣⲥⲓⲛⲓⲕⲟⲛ,"arsenic, orpiment"
ⲡⲣⲟⲥⲧⲁⲧⲏⲥ,"guardian, defender, benefactor, patron"
ⲕⲉⲫⲁⲗⲁⲓⲟⲛ,"chapter, section"
ⲁⲅⲅⲉⲗⲓⲕⲟⲛ,"angelic (of or pertaining to a benevolent supernatural being) (attributive)"
ⲡⲁⲣⲁⲇⲓⲇⲟⲩ,"to give up, to hand over (specific sense or object unclear)"
ⲁⲛⲧⲓⲧⲩⲡⲟⲥ,"reflection, copy (specific sense unclear)"
ⲙⲁⲣⲧⲩⲣⲓⲟⲛ,"witness, testimony"
ⲉⲅⲅⲕⲗⲩⲙⲁⲥ,"charge, accusation"
ⲫⲓⲗⲟⲕⲁⲗⲓⲁ,"maintenance"
ⲉⲓⲣⲏⲛⲓⲕⲟⲥ,"peaceful (substantive)"
ⲅⲉⲱⲙⲓⲧⲣⲏⲥ,"land-measurer, geometer"
ⲡⲣⲟⲥⲫⲉⲣⲓⲛ,"to make an offering, to sacrifice upon s.th."
ⲉⲗⲗⲉⲃⲟⲣⲟⲛ,"hellebore (a toxic plant)"
ⲁⲅⲁⲛⲁⲕⲧⲉⲓ,"to be aroused, indignant, angry (object: none)"
ⲙⲟⲩⲥⲭⲁⲧⲱⲛ,"nutmeg tree"
ⲫⲓⲗⲟⲥⲟⲫⲟⲥ,"philosopher"
ⲡⲁⲣⲁⲭⲱⲣⲉⲓ,"to cede, surrender s.th."
ⲁⲇⲁⲙⲁⲛⲧⲟⲥ,"adamantine (attributive)"
ⲡⲉⲣⲓⲟⲩⲥⲓⲁ,"abundance, wealth"
ⲕⲁⲧⲁⲥⲡⲟⲣⲁ,"sowing (season)"
ϩⲩⲡⲟⲙⲛⲓⲍⲉ,"to admonish, warn s.o."
ⲣⲏⲧⲱⲣⲉⲩⲓⲛ,"to speak publicly"
ⲕⲁⲗⲉⲁⲣⲓⲟⲥ,"galearius, military servant"
ⲟⲛⲟⲙⲁⲥⲧⲟⲥ,"notable, famous (substantive)"
ⲁⲙⲏⲧⲣⲓⲧⲟⲥ,"immeasurable, immense (attributive)"
ⲉⲡⲓⲥⲕⲟⲡⲟⲥ,"bishop"
ⲭⲓⲗⲓⲁⲣⲭⲟⲥ,"chiliarch, military tribune"
ⲕⲟⲣⲓⲛⲑⲓⲟⲥ,"Corinthian, a person from Corinth"
ⲡⲣⲟⲥⲧⲁⲥⲓⲁ,"leadership"
ⲡⲁⲛⲏⲣⲉⲙⲟⲥ,"completely tranquil one (re: divine transcendent character) (substantive)"
ⲁⲥⲡⲁⲗⲁⲑⲟⲥ,"camel's-thorn (spice/scent)"
ⲁⲛⲕⲟ(ⲩ)ⲕⲓ,"third (ring) finger"
ϩⲩⲡⲟⲑⲉⲥⲓⲥ,"event, case, occasion, eventuality"
ⲥⲧⲩⲗⲓⲧⲉⲩⲉ,"to ridicule s.th., hold up s.th. for scorn"
ⲕⲁⲩⲧⲏⲣⲓⲍⲉ,"to brand s.o."
ⲡⲉⲣⲓⲕⲁⲕⲉⲓ,"to be exhausted, demoralized (object: none)"
ⲁⲩⲑⲉⲛⲧⲓⲕⲏ,"original, autograph (of a document) (attributive)"
ⲁⲛⲁⲅⲕⲁⲓⲱⲥ,"compelled, forced by s.th."
ϩⲁⲅⲓⲁⲥⲙⲟⲥ,"blessing"
ⲡⲁⲣⲁⲫⲩⲥⲓⲥ,"that which is contrary to nature"
ⲡⲣⲟⲃⲁⲧⲓⲕⲏ,"Sheep Gate" (substantive)"
ⲫⲓⲗⲟⲕⲁⲗⲉⲓ,"to care for/tend to s.o."
ⲁⲡⲟⲥⲧⲁⲧⲏⲥ,"rebel, apostate (substantive)"
ⲡⲟⲗⲩⲅⲟⲛⲟⲛ,"knot-grass (Polygonum aviculare)"
ⲥⲟⲇⲟⲙⲓⲧⲏⲥ,"Sodomite (inhabitant of the city of Sodom; the elect)"
ⲭⲣⲏⲙⲁⲧⲓⲍⲉ,"to act on behalf of , legally represent s.o. regarding s.th."
ⲃⲁⲥⲓⲗⲓⲕⲟⲛ,"royal (attributive)"
ⲁⲛϩⲱⲙⲁⲗⲓⲁ,"unevenness, crookedness"
ⲁⲣⲭⲓⲉⲣⲉⲩⲥ,"high priest"
ⲥⲕⲁⲛⲇⲁⲗⲟⲛ,"obstacle, stumbling-block (something that causes a person to sin)"
ⲟⲩⲥⲓⲁⲣⲭⲏⲥ,"ousiarch, metaphysical ruler (superhuman being)"
ⲡⲁⲣⲁⲗⲟⲅⲟⲛ,"to break the law / a promise, to act unlawfully, to deceive (object: person)"
ⲁⲥⲫⲁⲗⲁⲕⲟⲛ,"asparagus"
ⲡⲣⲟⲫⲁⲛⲉⲓⲁ,"manifestation (divine act of emanation)"
ⲅⲁⲗⲓⲗⲁⲓⲟⲥ,"Galilean (substantive)"
ⲃⲁⲣⲉⲓⲥⲑⲁⲓ,"to be cumbersome, weigh one down (object: none)"
ⲡⲟⲗⲓⲧⲉⲩⲙⲁ,"citizenship"
ⲁⲡⲟⲥⲧⲟⲗⲟⲥ,"emissary, sent person (general, or specific sense unclear)"
(ⲥⲣⲟⲙⲣⲉⲙ),"enforce, admonish"
ⲡⲁⲣⲑⲉⲛⲓⲕⲏ,"virgin, virginal (attributive)"
ⲇⲓⲇⲣⲁⲭⲙⲟⲛ,"double drachma (coin worth two drachma)"
ⲗⲏⲥⲧⲏⲣⲓⲟⲛ,"gang of robbers"
ⲥⲡⲁⲑⲓϯⲕⲟⲛ,"little spittle"
ⲁⲛⲧⲓⲗⲟⲅⲓⲁ,"dispute, quarrel, objection, contradiction"
ⲑⲟⲩⲣⲁⲕⲓⲟⲛ,"(thourakion) tree"
ⲉⲡⲓⲕⲗⲏⲥⲓⲥ,"invocation (of superhuman being in Christian liturgy)"
ⲁⲡⲟⲕⲣⲓⲧⲏⲥ,"apocrite (official of some sort)"
ⲕⲩⲇⲁⲣⲓⲧⲏⲥ,"Kidarite"
ⲕⲟⲗⲗⲁⲣⲓⲟⲛ,"collar"
ⲭⲁⲙⲉⲙⲉⲗⲟⲛ,"chamomile (substantive)"
ⲥⲙⲁⲣⲁⲅⲇⲟⲥ,"emerald, precious green gem"
ⲥⲩⲛⲏⲇⲏⲥⲓⲥ,"issue, question (error for ζήτησις)"
ⲫⲩⲗⲟⲡⲟⲛⲟⲥ,"lay helper"
ⲁⲙⲙⲟⲣⲁⲓⲟⲥ,"Amorite (substantive)"
ⲡⲣⲟⲁⲡⲁⲧⲱⲣ,"pre-fatherless one"
ⲡⲁⲣⲁⲇⲓⲥⲟⲥ,"Paradise (location for a blessed afterlife)"
ⲡⲁⲣⲁⲛⲟⲙⲓⲁ,"transgression"
ⲓⲗⲗⲟⲩⲥⲧⲣⳇ,"illustrious one (lat. illustris) (substantive; re: honorific title)"
ⲃⲟⲩⲛⲉⲩⲣⲟⲛ,"whip (made from ox-hide)"
ⲕⲁⲕⲟⲅⲏⲣⲟⲥ,"wicked old man"
ⲁⲛⲧⲓⲙⲓⲙⲟⲛ,"imitation, counterfeit (substantive)"
ⲥⲱⲙⲁⲧⲓⲕⲟⲛ,"corporeal, bodily (substantive)"
ⲙⲉⲥⲏⲙⲃⲣⲓⲁ,"south"
ⲟⲓⲕⲟⲥⲕⲉⲩⲏ,"household utensils"
ⲭⲁⲗⲕⲁⲛⲑⲟⲩ,"solution of blue vitriol, copper vitriol"
ⲕⲁⲕⲟⲇⲟⲝⲓⲁ,"false opinion, insanity, heresy (regarding religious matters)"
ⲡⲣⲱⲧⲁⲣⲭⲱⲛ,"primary / first archon, chief ruler (malevolent)"
ⲡⲣⲟⲥⲕⲩⲛⲉⲓ,"to prostrate before, bow down to s.o."
ⲁⲅⲅⲉⲗⲓⲕⲟⲥ,"angelic (of or pertaining to a benevolent supernatural being) (specific sense
ϩⲩⲡⲟⲭⲟⲣⲉⲓ,"to withdraw, to draw back (object: none)"
ⲡⲁⲣⲉⲙⲃⲟⲗⲏ,"company, group"
ⲧⲣⲓⲁⲇⲓⲕⲟⲛ,"threefold (attributive)"
ⲁⲛⲁⲡⲗⲁⲥⲓⲥ,"remodeling, reshaping"
ⲇⲁⲓⲙⲟⲛⲓⲍⲉ,"to be possessed by a demon"
ⲡⲁⲛⲧⲉⲗⲓⲟⲛ,"completely, utterly perfect (substantive; of the semi-transcendent sectors and beings of
ⲡⲣⲟⲥⲡⲟⲓⲉⲓ,"to add s.th. in addressing s.o. (object1: indirect speech)"
ⲛⲁⲍⲱⲣⲁⲓⲟⲥ,"Nazarene (inhabitant of Nazareth) (epithet for Jesus Christ; substantive)"
ⲁⲛϩⲟⲙⲟⲓⲟⲛ,"disparate, confused one (substantive)"
ⲁⲛⲁⲥⲧⲁⲥⲓⲥ,"resurrection"
ⲃⲁⲡⲧⲓⲥⲙⲟⲥ,"baptism"
ⲕⲁⲕⲟⲏⲑⲉⲓⲁ,"treachery, evil character"
ⲕⲁⲑⲏⲕⲏⲥⲓⲥ,"rule, instruction (specific sense unclear)"
ⲫⲁⲣⲓⲥⲁⲓⲟⲥ,"Pharisee"
ⲁⲡⲟⲥⲧⲁⲥⲓⲁ,"apostasy"
ϩⲉⲃⲣⲁⲓⲕⲟⲛ,"Hebrew (language)"
ⲟⲓⲕⲟⲛⲟⲙⲓⲁ,"plan, dispensation, office (specific sense unclear)"
ⲕⲁⲛⲁⲛⲁⲓⲟⲥ,"zealot, enthusiast (used as a surname)"
ⲡⲁⲣⲁⲅⲣⲁⲫⲏ,"post-facto writing, falsification"
ⲉⲅⲕⲱⲙⲓⲁⲍⲉ,"to praise (in a speech), to hold an encomium"
ⲭⲁⲗⲕⲁⲛⲑⲟⲥ,"solution of blue vitriol, copper vitriol (specific sense unclear)"
ⲁⲛⲁⲡⲁⲩⲥⲓⲥ,"rest, repose (specific sense unclear)"
ⲇⲓⲁⲓⲣⲉⲥⲓⲥ,"division (specific sense unclear)"
ⲕⲁⲧⲏⲅⲟⲣⲓⲛ,"to accuse, reproach s.o."
ⲙⲟⲛⲟⲅⲉⲛⲏⲥ,"only-begotten, sole offspring"
ⲧⲣⲓⲃⲟⲗⲗⲟⲥ,"forked poker"
ⲥⲡⲟⲩⲇⲁⲓⲟⲥ,"earnest, zealous, diligent (attributive)"
ⲁⲥⲩⲛⲑⲉⲧⲟⲛ,"not composite, uncompounded (attributive)"
ϩⲉⲣⲙⲏⲛⲉⲓⲁ,"meaning, interpretation, translation"
ⲍⲱⲅⲣⲁⲫⲉⲓⲁ,"painting"
ⲕⲁⲧⲁⲧⲁⲝⲓⲥ,"order"
ⲡⲁⲣⲁⲧⲁⲝⲓⲥ,"company, squadron (inverted attributive)"
ⲡⲣⲁⲕⲧⲓⲕⲟⲛ,"business spell, spell to help with business matters"
ⲥⲁⲣⲁⲅⲏⲛⲟⲥ,"Saracen"
ⲥⲧⲁⲑⲙⲓⲕⲟⲛ,"by weight, measured (usage unclear)"
ⲗⲟⲅⲟⲅⲉⲛⲏⲥ,"one begotten by the Word (substantive; epithet for the elect)"
ⲡⲟⲗⲉⲙⲓⲕⲟⲛ,"warlike, of war (attributive)"
ⲁⲡⲟϩⲣⲏⲧⲟⲥ,"unspeakable, indescribable (attributive; referent: re: divine transcendent
ⲕⲟⲭⲗⲓⲁⲣⲓⲛ,"spoon, cochlear"
ⲥⲕⲉⲡⲁⲥⲧⲏⲥ,"shelterer, protector"
ⲉⲅⲕⲉⲫⲁⲗⲟⲥ,"contents of the head (brain)"
ⲁⲙⲩⲅⲇⲁⲗⲟⲛ,"almond-tree"
ⲥⲩⲅⲅⲉⲛⲉⲓⲁ,"kinship, descent"
ⲁⲡⲟⲭⲱⲣⲓⲍⲉ,"to divide, separate"
ⲟⲓⲕⲟⲇⲟⲙⲟⲥ,"architect, builder"
ϩⲩⲡⲟⲅⲣⲁⲫⲉ,"to subscribe to, agree with s.th. (object: content)"
ⲉⲡⲉⲛⲇⲩⲧⲏⲥ,"garment, clothing"
ⲑⲁⲩⲙⲁⲥⲧⲟⲛ,"wonderful, marvelous one (substantive)"
ϭⲗⲁⲙϭⲗ[ⲙ],"be changeable (?)"
ⲉⲡⲓⲧⲣⲟⲡⲟⲥ,"foreman, manager, steward"
ⲥⲁⲗⲡⲓⲅⲅⲟⲥ,"trumpet"
ⲁⲙⲫⲓⲃⲟⲗⲟⲛ,"dispute, litigation"
ⲁⲛⲑⲩⲡⲁⲧⲟⲥ,"proconsul"
ⲡⲁⲣⲁⲥⲕⲉⲩⲏ,"(day of) preparation (before the sabbath of the Passover)"
ⲉⲛⲑⲩⲙⲏⲥⲓⲥ,"contemplation, reflection, thought (benevolent celestial hypostasis; an aeon)"
ϯⲁⲙⲁⲣⲧⲉⲣⲉ,"to protest, object (specific sense unclear)"
ⲁⲣⲭⲏⲇⲓⲁⲕⳇ,"archdeacon"
ⲁⲡⲉⲇⲉⲩⲧⲟⲥ,"uneducated, ignorant"
ⲗⲟⲩⲧⲏⲣⲓⲟⲛ,"water basin"
ⲅⲉⲣⲁⲍⲏⲛⲟⲥ,"Gerasene (from the city of Gerasa) (substantive)"
ⲇⲟⲝⲟⲅⲉⲛⲏⲥ,"glory-begetter"
ⲭⲓⲙⲁⲣⲣⲁⲓⲥ,"chimera (mythological beast) (Greek genitive morph.)"
ⲕⲟⲛⲧⲁⲣⲓⲟⲛ,"spear"
ⲇⲓⲟⲓⲕⲏⲧⲏⲥ,"(village) administrator (highest village official, representative of the pagarch)"
ⲥⲫⲣⲁⲅⲓⲍⲓⲛ,"to make the sign of the cross (object: none)"
ⲥⲕⲁⲛⲇⲁⲗⲟⲥ,"fault, stumbling block (something that causes a person to sin)"
ⲕⲁⲕⲟⲩⲣⲅⲟⲥ,"criminal"
ϩⲩⲡⲟⲙⲛⲏⲙⲁ,"(act of) remembering"
ⲡⲣⲟⲥⲫⲱⲛⲉⲓ,"to address, speak to s.o."
ⲁⲙⲱⲛⲓⲁⲕⲟⲩ,"ammoniac, kind of rock-/sand-salt (substantive)"
ⲉⲛⲧⲟⲗⲓⲕⲟⲛ,"authorization, mandatum (an order given specifically by a mandator)"
ⲡⲣⲟⲩⲛⲓⲕⲟⲥ,"impetuosity (substantive)"
ⲡⲁⲛϩⲁⲅⲛⲟⲛ,"absolutely sacrosanct one (celestial hypostasis; an aeon) (substantive)"
ⲥⲩⲛⲁⲛⲧⲏⲙⲁ,"outcome, event"
ⲇⲓⲁⲕⲣⲓⲥⲓⲥ,"discernment"
ⲡⲣⲟⲧⲉⲕⲧⲱⲣ,"guardian, protector"
ⲡⲁⲣⲁⲃⲁⲧⲏⲥ,"transgressor (substantive)"
ⲉⲅⲕⲗⲏⲥⲧⲱⲥ,"recluse (attributive)"
ⲉⲝⲏⲅⲉⲓⲥⲓⲥ,"commentary"
ⲁⲥⲉⲗⲉⲩⲧⲱⲛ,"unshakeable (attributive)"
ⲥⲁⲛⲇⲁⲗⲓⲟⲛ,"sandal"
ⲁⲗⲗⲟⲧⲣⲓⲟⲥ,"alien, alienated, foreign one (substantive)"
ⲥⲩⲙⲫⲁⲛⲓⲍⲉ,"to mention s.th."
ⲭⲁⲙⲁⲓⲗⲉⲱⲛ,"chameleon"
ⲭⲁⲛⲁⲛⲓⲧⲓⲥ,"Canaanite (attributive)"
ⲕⲩⲣⲏⲛⲁⲓⲟⲥ,"Cyrenaean (substantive)"
ⲁⲙⲙⲱⲛⲓⲧⲏⲥ,"Ammonite"
ⲁⲡⲟⲗⲁⲩⲥⲓⲥ,"enjoyment, cheer, pleasure"
ⲙⲟⲩⲥⲭⲁⲧⲉⲛ,"muscat wine"
ⲡⲁⲣⲁⲃⲉⲛⲓⲛ,"to transgress, break, disobey s.th."
ⲭⲉⲓⲙⲁⲣⲣⲟⲥ,"river"
ⲕⲟⲙⲁⲣⲓⲧⲏⲥ,"gardener"
ⲛⲁⲍⲁⲣⲏⲛⲟⲥ,"Nazarene (epithet for Jesus Christ; substantive)"
ⲕⲁⲧⲁⲃⲁⲥⲓⲥ,"descent, free-fall (from heaven)"
ϩⲩⲡⲟⲕⲣⲓⲛⲉ,"to pretend, to fake something (sense or object unclear)"
ⲉⲩⲉⲣⲅⲉⲥⲓⲁ,"good deed"
ⲡⲣⲟⲥⲧⲓⲙⲟⲛ,"fine"
ⲕⲁⲧⲁⲅⲅⲓⲍⲉ,"to enclose, incarcerate in s.th."
ⲟⲩⲉⲗⲟⲩⲉⲗⲉ,"yelp, howl"
ⲁⲩⲑⲉⲛⲧⲉⲓⲁ,"sovereignty, authority"
ⲁⲗⲫⲁⲃⲁⲧⲱⲛ,"alphabet"
ⲥⲁⲧⲁⲣⲁⲕⲟⲥ,"realgar"
ⲗⲩⲡⲉⲓⲥⲑⲁⲓ,"to grieve, be upset (object: none)"
ⲥⲉⲗⲏⲛⲓⲁⲍⲉ,"to be an epileptic (object: none)"
ⲁⲣⲧⲓⲙⲉⲥⲓⲥ,"of wormwood (attributive)"
ϩⲩⲡⲏⲣⲉⲥⲓⲁ,"service rendered, use"
ϩⲩⲁⲕⲓⲛⲑⲟⲥ,"jacinth (precious blue gem)"
ⲕⲁⲧⲏⲅⲟⲣⲉⲓ,"to accuse, reproach s.o."
ⲕⲟⲗⲗⲟⲧⲓⲕⲏ,"(healing) ointment"
ⲁⲡⲟⲥⲧⲁⲧⲉⲓ,"to be unconcerned, aloof, uninvolved (object: none)"
ⲕⲁⲧⲁⲇⲓⲕⲱⲥ,"guilty one"
ⲁⲡⲟⲇⲉⲓⲝⲓⲥ,"demonstration, logical proof"
ⲥⲁⲙⲁⲣⲓⲧⲏⲥ,"Samaritan"
ⲙⲉⲗⲓⲗⲓⲧⲟⲛ,"melilot, Trigonella graeca, a kind of clover"
ⲁⲛⲧⲓⲧⲩⲡⲟⲛ,"copy, replication, image (substantive)"
ⲁⲝⲓⲟⲗⲟⲅⲟⲥ,"estimable, trustworthy (attributive)"
ⲡⲁⲣⲁⲛⲟⲙⲟⲥ,"person contrary to, transgressing the law; lawless one, transgressor"
ⲫⲓⲗⲟⲇⲱⲛⲓⲁ,"bounteousness, love of giving"
ⲁⲙⲫⲓⲧⲁⲡⲟⲥ,"double-sided rug"
ϩⲩⲡⲏⲣⲉⲧⲏⲥ,"servant, assistant"
ⲕⲉⲛⲟⲇⲟⲝⲟⲥ,"vainglorious, pompous (substantive)"
ⲇⲟⲝⲟⲫⲁⲛⲓⲁ,"manifestation of glory"
ⲕⲁⲧⲁⲥⲕⲉⲩⲏ,"creation"
ϩⲏⲅⲉⲙⲟⲛⲓⲁ,"faculty of self-rule, self-discipline"
ⲧⲣⲟⲭⲓⲥⲕⲟⲥ,"pill, tablet"
ⲁⲛⲁⲅⲕⲁⲓⲟⲥ,"indispensable, valuable (specific sense unclear)"
